2.1,防火巡护无人机,45,架,320000,Table Name
2.11,机巢,13,台,180000,2.9 应急夜间照明系统 40 台 15800
2.12,移动蓄水池,87,个,5000,2.9 应急夜间照明系统 40 台 15800
2.13,灭火水枪,188,个,400,2.9 应急夜间照明系统 40 台 15800
2.14,森林消防水带,862,条,1100,2.9 应急夜间照明系统 40 台 15800
3,雷击火监测系统,,,,2.9 应急夜间照明系统 40 台 15800
3.1,雷击火火险自动监测站、全波型三维闪电定位仪,30,套,500000,2.9 应急夜间照明系统 40 台 15800
二,项目总投资,,万元,14904.0,2.9 应急夜间照明系统 40 台 15800
1,其中：申请中央投资,,万元,10432.8,2.9 应急夜间照明系统 40 台 15800
2,省级配套资金,,万元,4471.2,2.9 应急夜间照明系统 40 台 15800
