_id,中标时间,项目名称,中标金额(万元),中标公司,城市,中标年份,中标月份
6523fe14e56a2f842023c020,2022-06-22,中国人民警察大学绿化品质提升三期设计采购项目,31.0,天津大学建筑设计规划研究总院有限公司,河北,2022,6
6523fe14e56a2f842023c021,2022-06-21,容西片区安置房城市公园绿地（B单元）及部分邻里中心园林景观施工,1423.0,河南固川市政园林工程有限公司,河北,2022,6
6523fe14e56a2f842023c022,2022-06-20,河北北方学院东校区南门进门两侧景观绿化改造项目,25.0,张家口通丰市政工程有限公司,河北,2022,6
6523fe14e56a2f842023c023,2022-06-20,2022年“水袖长廊主题公园”改造工程,759.0,邯郸市彩艺园林绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c024,2022-06-17,怀来大数据产业园区综合管网工程（破除绿化）-,113.0,张家口冀润园林绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c025,2022-06-16,2021-2022年任文干渠景观改造工程项目（第1标段）施工,1185.0,中地寅岗建设集团有限公司,河北,2022,6
6523fe14e56a2f842023c026,2022-06-16,2021-2022年任文干渠景观改造工程项目（第2标段）施工,1081.0,河北新万景建设集团有限公司,河北,2022,6
6523fe14e56a2f842023c027,2022-06-16,涞阳南路景观大道升级改造及街头公园建设项目（EPC）,1615.0,保定筑邦园林景观工程有限公司,河北,2022,6
6523fe14e56a2f842023c028,2022-06-09,安国现代中药农业园区五一、十一园内南侧、园外北侧药用花海项目第二标段,128.0,河北艺芝境绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c029,2022-06-07,衡山道绿化配套建设项目设计,51.0,中科瑞城设计有限公司,河北,2022,6
6523fe14e56a2f842023c02a,2022-06-06,容西片区配套绿化水系工程（截洪渠生态公园）施工总承包,7982.0,中国水利水电第十一工程局有限公司;天津市春秋源林市政工程有限公司,河北,2022,6
6523fe14e56a2f842023c02b,2022-06-06,承德市康养医院装修改造项目-室外铺装绿化,243.0,承德仁发市政园林绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c02c,2022-06-06,现代中药农业园区九个绿化项目养护,348.0,河北绿航园林工程有限公司,河北,2022,6
6523fe14e56a2f842023c02d,2022-06-06,武安市东山森林公园植物科普园建设工程二标段,610.0,武安市欣茂园林绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c02e,2022-06-06,石家庄工程技术学校教学楼及操场改造项目四标段：操场更换草坪,118.0,张家口超越园林景观工程有限公司,河北,2022,6
6523fe14e56a2f842023c02f,2022-06-02,滏阳河永年段堤顶路两侧林带绿化工程,478.0,邯郸七叶树园林绿化工程有限公司,河北,2022,6
6523fe14e56a2f842023c030,2022-06-28,中新天津生态城北堤生态廊道工程-景观绿化施工,7854.0,中建交通建设集团有限公司,天津,2022,6
6523fe14e56a2f842023c031,2022-06-28,天津中德应用技术大学机关 天津中德应用技术大学绿化养护项目,356.0,天津市园林建设有限公司,天津,2022,6
6523fe14e56a2f842023c032,2022-06-27,服务外包园绿化提升工程施工,705.0,天津泰达园林建设有限公司,天津,2022,6
6523fe14e56a2f842023c033,2022-06-24,天津市机电工艺技师学院2022年绿化服务项目,137.0,天津荣隆达园林绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c034,2022-06-23,空港经济区纬九道南侧新建绿化工程设计,20.0,天津市政工程设计研究总院有限公司,天津,2022,6
6523fe14e56a2f842023c035,2022-06-23,2022-2023年度新立街道绿化养管服务项目第1包,62.0,天津市鼎晟建设工程有限公司,天津,2022,6
6523fe14e56a2f842023c036,2022-06-23,2022-2023年度新立街道绿化养管服务项目第2包,176.0,天津市有为绿化工程服务有限公司,天津,2022,6
6523fe14e56a2f842023c037,2022-06-23,2022-2023年度新立街道绿化养管服务项目第3包,116.0,天津市绿美特园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c038,2022-06-21,金钟街郊野公园（杨北公路-欢坨泵站）绿化养管项目,479.0,天津市松璟市政园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c039,2022-06-21,天津市西青区精武镇绿化养护项目第1包,87.0,天津市供赢绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c03a,2022-06-21,天津市西青区精武镇绿化养护项目第2包,75.0,天津恒晟建设工程有限公司,天津,2022,6
6523fe14e56a2f842023c03b,2022-06-21,京津高速胡家园段两侧绿化更新造林工程,110.0,天津飞腾建设工程有限公司,天津,2022,6
6523fe14e56a2f842023c03c,2022-06-20,运苇河周边绿化提升改造项目,1201.0,天津宏远园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c03d,2022-06-20,天津开放大学全部校区绿化养护及绿植租摆服务项目,63.0,天津聚鑫茂园林景观工程有限公司,天津,2022,6
6523fe14e56a2f842023c03e,2022-06-20,金钟街郊野公园（金钟街与华明街交界处至杨北公路）绿化养管项目,169.0,天津市津腾园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c03f,2022-06-15,尖山路延长线绿化提升改造项目,449.0,天津宏远园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c040,2022-06-15,2022年和平区绿化养护服务项目第1包,46.0,天津市蓟州区兴鑫园林绿化工程队,天津,2022,6
6523fe14e56a2f842023c041,2022-06-15,2022年和平区绿化养护服务项目第2包,46.0,天津市晟世琦达建筑景观工程有限公司,天津,2022,6
6523fe14e56a2f842023c042,2022-06-15,2022年和平区绿化养护服务项目第3包,42.0,天津金鑫园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c043,2022-06-15,2022年和平区绿化养护服务项目第5包,24.0,天津市珝翊园林景观工程有限公司,天津,2022,6
6523fe14e56a2f842023c044,2022-06-15,2022年和平区绿化养护服务项目第6包,74.0,天津市静海区宇悦绿化管理服务队,天津,2022,6
6523fe14e56a2f842023c045,2022-06-15,2022年和平区绿化养护服务项目第7包,23.0,天津市金环市政工程有限公司,天津,2022,6
6523fe14e56a2f842023c046,2022-06-15,2022年和平区绿化养护服务项目第8包,46.0,天津市津南区天明园林绿化服务社,天津,2022,6
6523fe14e56a2f842023c047,2022-06-15,2022年和平区绿化养护服务项目第9包,30.0,天津市德林绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c048,2022-06-15,2022年和平区绿化养护服务项目第10包,80.0,天津市鑫之源园林绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c049,2022-06-15,2022年和平区绿化养护服务项目第11包,80.0,天津若水园林景观工程有限公司,天津,2022,6
6523fe14e56a2f842023c04a,2022-06-15,2022年茶淀街旧楼区绿化养护项目,59.0,天津众利和建筑工程有限公司,天津,2022,6
6523fe14e56a2f842023c04b,2022-06-15,2022年茶淀街农村环境保洁及留庄小花园绿化养管服务项目,140.0,天津众利和建筑工程有限公司,天津,2022,6
6523fe14e56a2f842023c04c,2022-06-15,丰年村街道绿化养护工程,63.0,天津市绿华盛园林工程有限公司,天津,2022,6
6523fe14e56a2f842023c04d,2022-06-13,朗鸿园项目室外园林景观及围墙大门工程,1169.0,天津市国源生态建设工程有限公司,天津,2022,6
6523fe14e56a2f842023c04e,2022-06-13,天津体育学院团泊校区绿化养护项目,318.0,天津市园林建设有限公司,天津,2022,6
6523fe14e56a2f842023c04f,2022-06-09,中新天津生态城华四路（中天大道至中央大道）、和睦路和顺路（中央大道交叉口）道路绿化工程设计,10.0,天津泰达园林规划设计院有限公司,天津,2022,6
6523fe14e56a2f842023c050,2022-06-08,张贵庄街绿化养护服务项目,67.0,天津恒鑫通绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c051,2022-06-07,天津市肿瘤医院空港医院 院区绿化养护及楼内绿植租摆服务采购项目,98.0,天津花之富花卉销售有限公司,天津,2022,6
